Ambulatory Surgical Facility Licensing Act of 2013,Proposed Resolution,20-008,803,Proposed_Resolution_20-008
"Amended  and Restated Basic Ordering Agreement for Fiscal Year 2014 DCPS and DPR Small Construction Projects (DCAM-14-CS-0001A), including Task Order No. 001, Approval  and Payment Authorization Emergency Act of 2014",Act,20-406,3886,Act_20-406
"Amended  and Restated Basic Ordering Agreement for Fiscal Year 2014 DCPS and DPR Small Construction Projects (DCAM-14-CS-0001E), including Task Order No. 001, Approval and Payment Authorization Emergency Act of 2014",Act,20-393,3872,Act_20-393
"Amended  and Restated Basic Ordering Agreement for Fiscal Year 2014 DCPS and DPR Small Construction Projects (DCAM-14-CS-0001E), including Task Order No. 001, Approval and Payment Authorization Emergency Declaration Resolution of 2014",Resolution,20-553,3956,Resolution_20-553
"Amended and Restated Basic Ordering Agreement for Fiscal Year 2014 DCPS and DPR Small Construction Projects (DCAM-14-CS-0001A), including Task Order No. 001, Approval  and Payment Authorization Emergency Declaration Resolution of 2014",Resolution,20-552,3954,Resolution_20-552
"Amended and Restated Basic Ordering Agreement for Fiscal Year 2014 DCPS and DPR Small Construction Projects (DCAM-14-CS-0001B), Including Task Order Nos. 001 and 002, Approval and Payment Authorization Emergency Act of 2014",Act,20-403,3883,Act_20-403
"Amended and Restated Basic Ordering Agreement for Fiscal Year 2014 DCPS and DPR Small Construction Projects (DCAM-14-CS-0001B), Including Task Order Nos. 001 and 002, Approval and Payment Authorization Emergency Declaration  Resolution of 2014",Resolution,20-555,3960,Resolution_20-555
"Amended and Restated Basic Ordering Agreement for Fiscal Year 2014 DCPS and DPR Small Construction Projects (DCAM-14-CS-0001G), Including Task Order Nos. 001, Approval and Payment Authorization Emergency Act of 2014",Act,20-404,3884,Act_20-404
"Amended and Restated Basic Ordering Agreement for Fiscal Year 2014 DCPS and DPR Small Construction Projects (DCAM-14-CS-0001G), Including Task Order Nos. 001, Approval and Payment Authorization Emergency Declaration Resolution of 2014",Resolution,20-556,3962,Resolution_20-556
Amended Special Eligibility Criteria for Local Rent Supplement Program Vouchers for Families Experiencing Homelessness Approval Resolution of 2013,Proposed Resolution,20-238,2152,Proposed_Resolution_20-238
American Public Health Association Refunding Revenue Bonds Project Approval Resolution of 2013,Resolution,20-157,1588,Resolution_20-157
Annie’s Way Designation Act of 2014,Law,20-99,3168,Law_20-99
Apprenticeship Council Courtland Cox Confirmation Resolution of 2014,Proposed Resolution,20-833,4382,Proposed_Resolution_20-833
Apprenticeship Council Frederick Alfred Howell Confirmation Resolution of 2014,Proposed Resolution,20-832,4381,Proposed_Resolution_20-832
Apprenticeship Council Ioannis J. Xanthos Confirmation Resolution of 2014,Proposed Resolution,20-705,3551,Proposed_Resolution_20-705
Apprenticeship Council Violet M. Carter Confirmation Resolution of 2014,Proposed Resolution,20-706,3552,Proposed_Resolution_20-706
Atlas Court Alley Designation Act of 2013,Law,20-30,2172,Law_20-30
Attendance Accountability Amendment Act of 2013,Law,20-17,1748,Law_20-17
Attendance Accountability Emergency Amendment Act of 2013,Act,20-133,1973,Act_20-133
Attendance Accountability Emergency Declaration Resolution of 2013,Resolution,20-245,2101,Resolution_20-245
Authorization of General Obligation Bonds and Bond Anticipation Notes for Fiscal Years 2013-2018 Issuance Congressional Review Emergency Act of 2013,Resolution,20-14,708,Resolution_20-14
Autonomous Vehicle Act of 2012,Law,19-278,906,Law_19-278
Bad Actor Debarment and Suspension Amendment Act of 2012,Law,19-298,967,Law_19-298
Basic Business License Renewal Amendment Act of 2012,Law,19-277,905,Law_19-277
Belmont Park Designation and Establishment Act of 2014,Law,20-106,3218,Law_20-106
Benefit Corporation Act of 2012,Law,19-305,1065,Law_19-305
Benning School Disposition Approval Resolution of 2013,Resolution,20-354,2803,Resolution_20-354
Benning School Surplus Declaration Resolution of 2013,Resolution,20-353,2801,Resolution_20-353
"Better Prices, Better Quality, Better Choices for Health Coverage Amendment Act of 2014",Law,20-123,3581,Law_20-123
"Better Prices, Better Quality, Better Choices for Health Coverage Congressional Review Emergency Amendment Act of 2013",Act,20-170,2419,Act_20-170
"Better Prices, Better Quality, Better Choices for Health Coverage Congressional Review Emergency Declaration Resolution of 2013",Resolution,20-269,2654,Resolution_20-269
"Better Prices, Better Quality, Better Choices for Health Coverage Emergency Amendment Act of 2013",Act,20-87,1446,Act_20-87
"Better Prices, Better Quality, Better Choices for Health Coverage Emergency Amendment Act of 2014",Act,20-335,3319,Act_20-335
"Better Prices, Better Quality, Better Choices for Health Coverage Emergency Declaration Resolution of 2013",Resolution,20-144,1564,Resolution_20-144
"Better Prices, Better Quality, Better Choices for Health Coverage Emergency Declaration Resolution of 2014",Resolution,20-469,3411,Resolution_20-469
"Better Prices, Better Quality, Better Choices for Health Coverage Temporary Amendment Act of 2013",Law,20-22,2375,Law_20-22
Beulah Baptist Church Real Property Equitable Tax Relief Congressional Review Emergency Act of 2013,Act,20-56,1405,Act_20-56
Beulah Baptist Church Real Property Equitable Tax Relief Congressional Review Emergency Declaration Resolution of 2013,Resolution,20-87,1473,Resolution_20-87
Beulah Baptist Church Real Property Equitable Tax Relief Emergency Act of 2012,Act,19-621,386,Act_19-621
Beulah Baptist Church Real Property Equitable Tax Relief Emergency Declaration Resolution of 2012,Resolution,19-754,563,Resolution_19-754
Beulah Baptist Church Real Property Equitable Tax Relief Temporary Act of 2013,Law,19-297,1242,Law_19-297
Bezner Real Property Tax Relief Emergency Act of 2014,Act,20-397,3877,Act_20-397
Bezner Real Property Tax Relief Emergency Declaration Resolution of 2014,Resolution,20-574,3990,Resolution_20-574
Bicycle Safety Amendment Act of 2013,Law,20-49,2206,Law_20-49
Bloomingdale and LeDroit Park Backwater Valve and Sandbag Act of 2012,Law,19-292,952,Law_19-292
Board of Accountancy Mr. Abdool S. Akhran Confirmation Resolution of 2013,Proposed Resolution,20-562,3147,Proposed_Resolution_20-562
Board of Accountancy Mr. Joseph S. Drew Confirmation Resolution of 2013,Proposed Resolution,20-563,3148,Proposed_Resolution_20-563
Board of Accountancy Mr. Mohamad K. Yusuff Confirmation Resolution of 2013,Proposed Resolution,20-561,3146,Proposed_Resolution_20-561
Board of Accountancy Mr. Robert Todero Confirmation Resolution of 2014,Proposed Resolution,20-683,3537,Proposed_Resolution_20-683
Board of Architecture and Interior Designers Cametrick A. H. Nesmith Resolution of 2014,Proposed Resolution,20-661,3529,Proposed_Resolution_20-661
Board of Architecture and Interior Designers Kerry Touchette Resolution of 2014,Proposed Resolution,20-669,3534,Proposed_Resolution_20-669
Board of Architecture and Interior Designers Lucy S. Adams Confirmation Resolution of 2014,Proposed Resolution,20-1005,4743,Proposed_Resolution_20-1005
Board of Architecture and Interior Designers Patrick Xavier Williams Confirmation Resolution of 2014,Proposed Resolution,20-732,3555,Proposed_Resolution_20-732
Board of Architecture and Interior Designers Ronnie McGhee Confirmation Resolution of 2014,Proposed Resolution,20-984,4726,Proposed_Resolution_20-984
Board of Architecture and Interior Designers Wanda Y. Sherrod Resolution of 2013,Proposed Resolution,20-424,2861,Proposed_Resolution_20-424
Board of Barber and Cosmetology Cynthia M. Wilkins Confirmation Resolution of 2014,Proposed Resolution,20-748,3563,Proposed_Resolution_20-748
Board of Barber and Cosmetology Eric Doyle Confirmation Resolution of 2014,Proposed Resolution,20-738,3559,Proposed_Resolution_20-738
Board of Barber and Cosmetology Mark C. Wills Confirmation Resolution of 2013,Proposed Resolution,20-128,1710,Proposed_Resolution_20-128
Board of Barber and Cosmetology Mr. Paul Roe Confirmation Resolution of 2013,Proposed Resolution,20-524,2880,Proposed_Resolution_20-524
Board of Barber and Cosmetology Ms. Nanita N. Wilson Confirmation Resolution of 2014,Proposed Resolution,20-684,3538,Proposed_Resolution_20-684
Board of Barber and Cosmetology Norah Critzos Confirmation Resolution of 2014,Proposed Resolution,20-735,3556,Proposed_Resolution_20-735
Board of Barber and Cosmetology Norah S. Critzos Confirmation Resolution of 2013,Proposed Resolution,20-126,1708,Proposed_Resolution_20-126
Board of Barber and Cosmetology Olivia French Confirmation Resolution of 2014,Proposed Resolution,20-736,3557,Proposed_Resolution_20-736
Board of Barber and Cosmetology Raymond L. Kibler Confirmation Resolution of 2013,Proposed Resolution,20-127,1709,Proposed_Resolution_20-127
Board of Barber and Cosmetology Tammy Musselwhite Confirmation Resolution of 2014,Proposed Resolution,20-737,3558,Proposed_Resolution_20-737
Board of Chiropractic Dr. Carol Hopson Confirmation Resolution of 2013,Proposed Resolution,20-361,2854,Proposed_Resolution_20-361
Board of Chiropractic Dr. Keita Vanterpool Confirmation Resolution of 2014,Proposed Resolution,20-1109,4772,Proposed_Resolution_20-1109
Board of Chiropractic Dr. Miya Corliss Bazley Confirmation Resolution of 2014,Proposed Resolution,20-1110,4773,Proposed_Resolution_20-1110
Board of Chiropractic Justin Palmer Confirmation Resolution of 2014,Proposed Resolution,20-623,3161,Proposed_Resolution_20-623
Board of Dentistry Dianne J. Smith Confirmation Resolution of 2014,Proposed Resolution,20-1112,4774,Proposed_Resolution_20-1112
Board of Dentistry Dr. Wesley D. Thomas Confirmation Resolution of 2013,Proposed Resolution,20-425,2862,Proposed_Resolution_20-425
Board of Dietetics and Nutrition Edward M. Johnson Confirmation Resolution of 2013,Proposed Resolution,20-110,1703,Proposed_Resolution_20-110
Board of Dietetics and Nutrition Janet Unonu Confirmation Resolution of 2013,Proposed Resolution,20-377,2856,Proposed_Resolution_20-377
Board of Dietetics and Nutrition Melissa Emily Musiker Confirmation Resolution of 2014,Proposed Resolution,20-930,4704,Proposed_Resolution_20-930
Board of Directors of the Washington Metropolitan Area Transit Authority Alternate Member Matthew T. Brown Appointment Emergency Approval Resolution of 2014,Resolution,20-506,3482,Resolution_20-506
Board of Directors of the Washington Metropolitan Area Transit Authority Alternate Member Matthew T. Brown Appointment Emergency Declaration Resolution of 2014,Resolution,20-505,3480,Resolution_20-505
Board of Directors of the Washington Metropolitan Area Transit Authority Muriel Bowser Reappointment Resolution of 2013,Resolution,20-6,697,Resolution_20-6
Board of Elections Nominating Petition Circulator Affidavit Amendment Act of 2014,Law,20-143,4110,Law_20-143
Board of Elections Nominating Petition Circulator Affidavit Congressional Review Emergency Amendment Act of 2014,Act,20-287,3059,Act_20-287
Board of Elections Nominating Petition Circulator Affidavit Congressional Review Emergency Declaration Resolution of 2014,Resolution,20-402,3098,Resolution_20-402
Board of Elections Nominating Petition Circulator Affidavit Emergency Amendment Act of 2013,Act,20-209,2598,Act_20-209
Board of Elections Nominating Petition Circulator Affidavit Emergency Declaration Resolution of 2013,Resolution,20-331,2761,Resolution_20-331
Board of Elections Nominating Petition Circulator Affidavit Second Congressional Review Emergency Amendment Act of 2014,Act,20-428,4143,Act_20-428
Board of Elections Nominating Petition Circulator Affidavit Second Congressional Review Emergency Declaration Resolution of 2014,Resolution,20-596,4499,Resolution_20-596
Board of Elections Nominating Petition Circulator Affidavit Temporary Amendment Act of 2013,Law,20-74,3008,Law_20-74
Board of Elections Petition Circulation Requirements Amendment Act of 2013,Law,20-31,2173,Law_20-31
Board of Elections Petition Circulation Requirements Emergency Amendment Act of 2012,Act,19-587,303,Act_19-587
Board of Elections Petition Circulation Requirements Emergency Declaration Resolution of 2012,Resolution,19-764,577,Resolution_19-764
Board of Ethics and Government Accountability Amendment Act of 2013,Law,20-75,2908,Law_20-75
Board of Ethics and Government Accountability Congressional Review Emergency Amendment Act of 2013,Act,20-245,2639,Act_20-245
Board of Ethics and Government Accountability Congressional Review Emergency Declaration Resolution of 2013,Resolution,20-342,2774,Resolution_20-342
Board of Ethics and Government Accountability Emergency Amendment Act of 2013,Act,20-24,483,Act_20-24
Board of Ethics and Government Accountability Emergency Declaration Resolution of 2013,Resolution,20-38,740,Resolution_20-38
Board of Ethics and Government Accountability Establishment and Comprehensive Ethics Reform Emergency Amendment Act of 2013,Act,20-181,2440,Act_20-181
Board of Ethics and Government Accountability Establishment and Comprehensive Ethics Reform Emergency Amendment Act of 2014,Act,20-364,3355,Act_20-364
Board of Ethics and Government Accountability Establishment and Comprehensive Ethics Reform Emergency Declaration Resolution of 2013,Resolution,20-280,2670,Resolution_20-280
Board of Ethics and Government Accountability Establishment and Comprehensive Ethics Reform Emergency Declaration Resolution of 2014,Resolution,20-500,3472,Resolution_20-500
Board of Ethics and Government Accountability Establishment and Comprehensive Ethics Reform Temporary Amendment Act of 2013,Law,20-57,2400,Law_20-57
Board of Ethics and Government Accountability Temporary Amendment Act of 2013,Law,20-3,1266,Law_20-3
Board of Funeral Directors Charles Bowman Confirmation Resolution of 2013,Proposed Resolution,20-510,2874,Proposed_Resolution_20-510
Board of Funeral Directors Charles Bowman Confirmation Resolution of 2014,Proposed Resolution,20-805,4048,Proposed_Resolution_20-805
Board of Funeral Directors Essita Duncan Confirmation Resolution of 2014,Proposed Resolution,20-806,4049,Proposed_Resolution_20-806
Board of Funeral Directors Lynn Armstrong Patterson Confirmation Resolution of 2014,Proposed Resolution,20-981,4723,Proposed_Resolution_20-981
Board of Industrial Trades Audrick Payne Confirmation Resolution of 2014,Proposed Resolution,20-665,3531,Proposed_Resolution_20-665
Board of Industrial Trades Constantin C. Rodousakis Reappointment Resolution of 2014,Proposed Resolution,20-983,4725,Proposed_Resolution_20-983
Board of Industrial Trades Keith Jones Confirmation Resolution of 2014,Proposed Resolution,20-1009,4747,Proposed_Resolution_20-1009
Board of Industrial Trades Richard D. Jackson Reappointment Resolution of 2014,Proposed Resolution,20-1048,4759,Proposed_Resolution_20-1048
"Board of Industrial Trades Shell Carter Davis, III, Reappointment Resolution of 2014",Proposed Resolution,20-1047,4758,Proposed_Resolution_20-1047
Board of Library Trustees Brenda Lee Richardson Confirmation Resolution of 2014,Resolution,20-410,3106,Resolution_20-410
Board of Library Trustees Donald F. Richardson Confirmation Resolution of 2014,Resolution,20-411,3107,Resolution_20-411
Board of Marriage and Family Therapy Sheila A. Holt Confirmation Resolution of 2014,Proposed Resolution,20-1074,4765,Proposed_Resolution_20-1074
Board of Massage Therapy Danielle M. Weatherford Confirmation Resolution of 2014,Proposed Resolution,20-615,3157,Proposed_Resolution_20-615
Board of Massage Therapy Louis Ferguson Confirmation Resolution of 2014,Proposed Resolution,20-666,3532,Proposed_Resolution_20-666
Board of Massage Therapy Pamela L. Birchett Confirmation Resolution of 2013,Proposed Resolution,20-426,2863,Proposed_Resolution_20-426
Board of Massage Therapy Pamela L. Birchett Confirmation Resolution of 2014,Proposed Resolution,20-667,3533,Proposed_Resolution_20-667
Board of Medicine Dr. Andrea A. Anderson Confirmation Resolution of 2014,Proposed Resolution,20-938,4711,Proposed_Resolution_20-938
Board of Medicine Dr. Anitra P. Denson Confirmation Resolution of 2014,Proposed Resolution,20-937,4710,Proposed_Resolution_20-937
Board of Medicine Dr. Brendan Furlong Confirmation Resolution of 2014,Proposed Resolution,20-940,4713,Proposed_Resolution_20-940
Board of Medicine Dr. Janis Orlowski Confirmation Resolution of 2014,Proposed Resolution,20-939,4712,Proposed_Resolution_20-939
Board of Medicine Dr. Lawrence Manning Confirmation Resolution of 2014,Proposed Resolution,20-936,4709,Proposed_Resolution_20-936
Board of Medicine Dr. Lisa K. Fitzpatrick Confirmation Resolution of 2013,Proposed Resolution,20-513,2877,Proposed_Resolution_20-513
Board of Medicine Dr. Marc Rankin Confirmation Resolution of 2013,Proposed Resolution,20-512,2876,Proposed_Resolution_20-512
Board of Medicine Dr. Robyn Macsata Confirmation Resolution of 2014,Proposed Resolution,20-1008,4746,Proposed_Resolution_20-1008
"Board of Medicine Mr. Thomas Dawson III, Esquire Confirmation Resolution of 2013",Proposed Resolution,20-514,2878,Proposed_Resolution_20-514
Board of Medicine Terrence D. Straub Confirmation Resolution of 2013,Proposed Resolution,20-358,2853,Proposed_Resolution_20-358
Board of Medicine Treasure Johnson Confirmation Resolution of 2014,Proposed Resolution,20-653,3526,Proposed_Resolution_20-653
Board of Occupational Therapy Charles Bond Confirmation Resolution of 2014,Proposed Resolution,20-869,4687,Proposed_Resolution_20-869
Board of Occupational Therapy Frank E. Gainer III Confirmation Resolution of 2014,Proposed Resolution,20-986,4728,Proposed_Resolution_20-986
Board of Occupational Therapy Roxanne Arneaud Confirmation Resolution of 2014,Proposed Resolution,20-868,4686,Proposed_Resolution_20-868
Board of Occupational Therapy Tracey Ellis Confirmation Resolution of 2014,Proposed Resolution,20-870,4688,Proposed_Resolution_20-870
Board of Optometry David A. Reed Confirmation Resolution of 2014,Proposed Resolution,20-1003,4742,Proposed_Resolution_20-1003
Board of Optometry Lisa A. Johnson Confirmation Resolution of 2014,Proposed Resolution,20-1002,4741,Proposed_Resolution_20-1002
Board of Pharmacy Alan Friedman Confirmation Resolution of 2014,Proposed Resolution,20-871,4689,Proposed_Resolution_20-871
Board of Pharmacy Corrie D. Franks Confirmation Resolution of 2013,Proposed Resolution,20-112,1704,Proposed_Resolution_20-112
Board of Pharmacy Daphne Bernard Confirmation Resolution of 2013,Proposed Resolution,20-101,1701,Proposed_Resolution_20-101
Board of Pharmacy Eddie Curry Confirmation Resolution of 2014,Proposed Resolution,20-1006,4744,Proposed_Resolution_20-1006
Board of Pharmacy James Craig Appleby Confirmation Resolution of 2013,Proposed Resolution,20-102,1702,Proposed_Resolution_20-102
Board of Pharmacy Tamara A. McCants Confirmation Resolution of 2014,Proposed Resolution,20-976,4718,Proposed_Resolution_20-976
Board of Physical Therapy Christopher Cousins Confirmation Resolution of 2014,Proposed Resolution,20-894,4690,Proposed_Resolution_20-894
Board of Physical Therapy Senora Simpson Confirmation Resolution of 2014,Proposed Resolution,20-991,4730,Proposed_Resolution_20-991
Board of Physical Therapy Timothy Vidale Confirmation Resolution of 2014,Proposed Resolution,20-1016,4754,Proposed_Resolution_20-1016
Board of Podiatry Barbara J. Clark Confirmation Resolution of 2014,Proposed Resolution,20-985,4727,Proposed_Resolution_20-985
Board of Podiatry Stuart B. Sibel Confirmation Resolution of 2014,Proposed Resolution,20-980,4722,Proposed_Resolution_20-980
Board of Psychology Dr. Anthony Jimenez Confirmation Resolution of 2014,Proposed Resolution,20-800,4046,Proposed_Resolution_20-800
Board of Psychology Dr. Juliet Francis Confirmation Resolution of 2013,Proposed Resolution,20-609,3156,Proposed_Resolution_20-609
Board of Psychology Dr. Maia Coleman King Confirmation Resolution of 2014,Proposed Resolution,20-662,3530,Proposed_Resolution_20-662
Board of Real Estate Appraisers Marguerite Allen Confirmation Resolution of 2014,Proposed Resolution,20-915,4702,Proposed_Resolution_20-915
Board of Real Estate Appraisers Tamora Papas Confirmation Resolution of 2014,Proposed Resolution,20-1098,4768,Proposed_Resolution_20-1098
Board of Real Estate Appraisers Todd Canterbury Confirmation Resolution of 2014,Proposed Resolution,20-914,4701,Proposed_Resolution_20-914
Board of Respiratory Care Carolyn A. Williams Confirmation Resolution of 2014,Proposed Resolution,20-908,4695,Proposed_Resolution_20-908
Board of Respiratory Care Jean Williams Confirmation Resolution of 2014,Proposed Resolution,20-907,4694,Proposed_Resolution_20-907
Board of Respiratory Care Timothy Mahoney Confirmation Resolution of 2014,Proposed Resolution,20-990,4729,Proposed_Resolution_20-990
Board of Social Work Anne M. Selee Confirmation Resolution of 2014,Proposed Resolution,20-1071,4762,Proposed_Resolution_20-1071
Board of Social Work Michelle Y. Rose Confirmation Resolution of 2014,Proposed Resolution,20-1073,4764,Proposed_Resolution_20-1073
Board of Social Work Velva R. T. Spriggs Confirmation Resolution of 2014,Proposed Resolution,20-1072,4763,Proposed_Resolution_20-1072
Board of Trustees of the University of the District of Columbia Dr. Anthony C. Tardd Confirmation Resolution of 2014,Resolution,20-424,3121,Resolution_20-424
Board of Trustees of the University of the District of Columbia Dr. Gabriela D. Lemus Confirmation Resolution of 2013,Resolution,20-202,2031,Resolution_20-202
Board of Trustees of the University of the District of Columbia Elaine A. Crider Confirmation Resolution of 2013,Resolution,20-204,2033,Resolution_20-204
Board of Trustees of the University of the District of Columbia George Vradenburg Confirmation Resolution of 2013,Resolution,20-205,2034,Resolution_20-205
"Board of Trustees of the University of the District of Columbia James W. Dyke, Jr. Confirmation Resolution of 2014",Resolution,20-530,3927,Resolution_20-530
Board of Trustees of the University of the District of Columbia Joshua S. Wyner Confirmation Resolution of 2014,Resolution,20-425,3122,Resolution_20-425
Board of Trustees of the University of the District of Columbia Kendrick E. Curry Confirmation Resolution of 2014,Resolution,20-532,3929,Resolution_20-532
Board of Trustees of the University of the District of Columbia Major General Errol R. Schwartz Confirmation Resolution of 2013,Resolution,20-203,2032,Resolution_20-203
Board of Trustees of the University of the District of Columbia Ms. Alejandra Y. Castillo Confirmaiton Resolution of 2013,Resolution,20-201,2030,Resolution_20-201
Board of Trustees of the University of the District of Columbia Reginald Felton Confirmation Resolution of 2014,Resolution,20-531,3928,Resolution_20-531
Board of Veterinary Examiners Dr. Aruna Noon Kampani Confirmation Resolution of 2013,Proposed Resolution,20-401,2859,Proposed_Resolution_20-401
Board of Veterinary Examiners Dr. Aruna Noon Kampani Confirmation Resolution of 2014,Proposed Resolution,20-691,3539,Proposed_Resolution_20-691
Board of Veterinary Examiners Dr. Ashley A. Gallagher Confirmation Resolution of 2013,Proposed Resolution,20-441,2865,Proposed_Resolution_20-441
Board of Veterinary Medicine Dr. Leanne Lipton Confirmation Resolution of 2014,Proposed Resolution,20-1007,4745,Proposed_Resolution_20-1007
Board of Zoning Adjustment Kathryn Allen Confirmation Resolution of 2013,Resolution,20-20,716,Resolution_20-20
Board of Zoning Adjustment Marnique Heath Confirmation Resolution of 2014,Resolution,20-406,3361,Resolution_20-406
"Board of Zoning Adjustment Mr. Lloyd J. Jordan, Esquire Confirmation Resolution of 2013",Resolution,20-67,1457,Resolution_20-67
Breastmilk Bank and Lactation Support Act of 2014,Law,20-121,3570,Law_20-121
Breath Alcohol Testing Program Rulemaking Approval Resolution of 2014,Proposed Resolution,20-1028,4755,Proposed_Resolution_20-1028
Breath Test Admissibility in Criminal Proceedings Amendment Act of 2012,Law,19-260,834,Law_19-260
Brew Pub and Wine Pub Hours Resolution of 2013,Resolution,20-182,1685,Resolution_20-182
Budget Autonomy Litigation Authorization Resolution of 2014,Resolution,20-428,3125,Resolution_20-428
Budget Director to the Council of the District of Columbia Jennifer Budoff Reappointment Resolution of 2013,Resolution,20-4,695,Resolution_20-4
Business Improvement Districts Emergency Amendment Act of 2014,Act,20-435,4154,Act_20-435
Business Improvement Districts Emergency Declaration Resolution of 2014,Resolution,20-611,4505,Resolution_20-611
Campaign Finance Reform and Transparency Amendment Act of 2013,Law,20-79,2918,Law_20-79
Capital Bikeshare Program Payment Authorization Emergency Act of 2012,Act,19-586,302,Act_19-586
Capitol Hill Business Improvement District Amendment Act of 2013,Law,20-33,2176,Law_20-33
Capitol Hill Business Improvement District Emergency Amendment Act of 2013,Act,20-144,1994,Act_20-144
Capitol Hill Business Improvement District Emergency Declaration Resolution of 2013,Resolution,20-249,2106,Resolution_20-249
Captive Earthquake Property Insurance Congressional Review Emergency Amendment Act of 2013,Act,20-85,1441,Act_20-85
Captive Earthquake Property Insurance Congressional Review Emergency Declaration Resolution of 2013,Resolution,20-136,1554,Resolution_20-136
Captive Earthquake Property Insurance Emergency Amendment Act of 2013,Act,20-39,523,Act_20-39
Captive Earthquake Property Insurance Emergency Declaration Resolution of 2013,Resolution,20-65,790,Resolution_20-65
Captive Earthquake Property Insurance Temporary Amendment Act of 2013,Law,20-9,1277,Law_20-9
Career and Excepted Service Employees Compensation System Changes for Fire Officials Emergency Approval Resolution of 2014,Resolution,20-715,4634,Resolution_20-715
Career and Excepted Service Employees Compensation System Changes for Police Officials Emergency Approval Resolution of 2014,Resolution,20-594,4023,Resolution_20-594
